32135, the Ville, Lee family's house
32145, the Ville, Smith family's house
32155, the Ville, Taylor family's house
32165, the Ville, July hotel
32175, the Ville, NICO Supermarket
32185, the Ville, Hawks Steakhouse
32195, the Ville, Lough Pub
32136, the Ville, Western Bank
32146, the Ville, Capybara Bakery
32156, the Ville, Game Company
32166, the Ville, Adamas Gym
32176, the Ville, The Willows Market and Pharmacy
32186, the Ville, Adam Smith's house
32196, the Ville, Yuriko Yamamoto's house
32137, the Ville, Moore family's house
32147, the Ville, Tamara Taylor and Carmen Ortiz's house
32157, the Ville, Moreno family's house
32167, the Ville, Lin family's house
32177, the Ville, Dorm for Oak Hill College